iter	Logloss
0	0.6602390503
1	0.6315253967
2	0.6066300232
3	0.5858434692
4	0.5653151733
5	0.547933374
6	0.5328712158
7	0.5187460571
8	0.5066135254
9	0.4968524719
10	0.4871634277
11	0.4783815308
12	0.4709560791
13	0.4642898865
14	0.4573017151
15	0.4517972473
16	0.4468687988
17	0.4428307495
18	0.4387097656
19	0.4349944458
20	0.431804126
21	0.4287183655
22	0.4256543396
23	0.4232891663
24	0.4209802612
25	0.4191327118
26	0.4169649109
27	0.4152153931
28	0.4133238983
29	0.4117524536
30	0.4101909485
31	0.408670166
32	0.4076240234
33	0.4065990784
34	0.4057917175
35	0.4045649841
36	0.4036367981
37	0.4029747711
38	0.4022087219
39	0.4013643829
40	0.400156839
41	0.3997238739
42	0.3992490234
43	0.3986467682
44	0.3981488647
45	0.3974219055
46	0.3967637848
47	0.3962887726
48	0.3958095154
49	0.3953632843
