iter	Passed	Remaining
0	66	3282
1	73	1761
2	83	1307
3	88	1022
4	96	871
5	104	764
6	111	687
7	119	626
8	125	570
9	131	525
10	138	491
11	146	463
12	152	435
13	159	409
14	167	389
15	175	373
16	181	352
17	188	334
18	194	317
19	204	306
20	216	298
21	231	294
22	237	279
23	244	264
24	251	251
25	258	238
26	263	224
27	271	213
28	279	202
29	286	191
30	333	204
31	352	198
32	360	185
33	385	181
34	405	173
35	415	161
36	423	148
37	430	136
38	456	128
39	462	115
40	508	111
41	526	100
42	601	97
43	617	84
44	623	69
45	630	54
46	637	40
47	654	27
48	683	13
49	721	0
